Data;Cidade;UF;Vendedor;Salario;Veículo;Preço
05/fev/20;Americana;SP;Elian Belli;1800;Ka;11255
05/fev/20;Americana;SP;Elian Belli;1800;Fiesta;42570
05/fev/20;Americana;SP;Elian Belli;1800;Uno;26577
05/fev/20;Americana;SP;Elian Belli;1800;Pálio;19028
04/fev/20;Americana;SP;Elian Belli;1800;Gol;56343
04/fev/20;Americana;SP;Elian Belli;1800;Ka;21880
04/fev/20;Americana;SP;Elian Belli;1800;Civic;21771
04/fev/20;Americana;SP;Elian Belli;1800;Ka;38097
04/fev/20;Americana;SP;Elian Belli;1800;Civic;29937
04/fev/20;Americana;SP;Elian Belli;1800;Pálio;44391
04/fev/20;Americana;SP;Elian Belli;1800;Logan;54658
04/fev/20;Americana;SP;Elian Belli;1800;Fiesta;15437
04/fev/20;Americana;SP;Elian Belli;1800;Cruze;32775
04/fev/20;Americana;SP;Elian Belli;1800;Civic;30067
04/fev/20;Americana;SP;Elian Belli;1800;Logan;13422
25/fev/20;Americana;SP;Elian Belli;1800;Corola;32100
25/fev/20;Americana;SP;Elian Belli;1800;Civic;30936
25/fev/20;Americana;SP;Elian Belli;1800;Pálio;38919
25/fev/20;Americana;SP;Elian Belli;1800;Corola;10429
25/fev/20;Americana;SP;Elian Belli;1800;Logan;31484
25/fev/20;Americana;SP;Elian Belli;1800;Ka;29034
25/fev/20;Americana;SP;Elian Belli;1800;Cruze;55329
25/fev/20;Americana;SP;Elian Belli;1800;EcoSport;24289
25/fev/20;Americana;SP;Elian Belli;1800;Uno;44319
25/fev/20;Americana;SP;Elian Belli;1800;Corola;41911
25/fev/20;Americana;SP;Elian Belli;1800;Ka;18889
17/fev/20;Americana;SP;Elian Belli;1800;Polo;36111
17/fev/20;Americana;SP;Elian Belli;1800;Uno;27965
17/fev/20;Americana;SP;Elian Belli;1800;Uno;23094
17/fev/20;Americana;SP;Elian Belli;1800;EcoSport;54197
17/fev/20;Americana;SP;Elian Belli;1800;Fiesta;10271
17/fev/20;Americana;SP;Elian Belli;1800;Fiesta;33012
17/fev/20;Americana;SP;Elian Belli;1800;Uno;30311
17/fev/20;Americana;SP;Elian Belli;1800;Polo;12656
17/fev/20;Americana;SP;Elian Belli;1800;Uno;27854
17/fev/20;Americana;SP;Elian Belli;1800;Ka;45216
17/fev/20;Americana;SP;Elian Belli;1800;Gol;50865
17/fev/20;Americana;SP;Elian Belli;1800;Cruze;19243
23/fev/20;Americana;SP;Elian Belli;1800;Fiesta;47068
23/fev/20;Americana;SP;Elian Belli;1800;Gol;30074
10/mar/20;Americana;SP;Elian Belli;1800;Polo;36785
10/mar/20;Americana;SP;Elian Belli;1800;Pálio;15008
10/mar/20;Americana;SP;Elian Belli;1800;Cruze;27327
10/mar/20;Americana;SP;Elian Belli;1800;EcoSport;43315
10/mar/20;Americana;SP;Elian Belli;1800;Polo;53578
10/mar/20;Americana;SP;Elian Belli;1800;Logan;16326
09/mar/20;Americana;SP;Elian Belli;1800;Logan;18785
09/mar/20;Americana;SP;Elian Belli;1800;Pálio;25997
09/mar/20;Americana;SP;Elian Belli;1800;Pálio;50607
09/mar/20;Americana;SP;Elian Belli;1800;Civic;41163
09/mar/20;Americana;SP;Elian Belli;1800;Pálio;54065
23/mar/20;Americana;SP;Elian Belli;1800;Cruze;54087
23/mar/20;Americana;SP;Elian Belli;1800;Corola;51062
23/mar/20;Americana;SP;Elian Belli;1800;Fiesta;34133
23/mar/20;Americana;SP;Elian Belli;1800;Logan;44222
23/mar/20;Americana;SP;Elian Belli;1800;Fiesta;35152
23/mar/20;Americana;SP;Elian Belli;1800;Pálio;21888
23/mar/20;Americana;SP;Elian Belli;1800;Cruze;54435
09/mar/20;Americana;SP;Elian Belli;1800;EcoSport;54187
09/mar/20;Americana;SP;Elian Belli;1800;Polo;26342
14/mar/20;Americana;SP;Elian Belli;1800;EcoSport;24957
14/mar/20;Americana;SP;Elian Belli;1800;Cruze;11569
14/mar/20;Americana;SP;Elian Belli;1800;EcoSport;33134
14/mar/20;Americana;SP;Elian Belli;1800;Cruze;24856
14/mar/20;Americana;SP;Elian Belli;1800;Cruze;16190
14/mar/20;Americana;SP;Elian Belli;1800;Gol;46618
14/mar/20;Americana;SP;Elian Belli;1800;Cruze;15292
19/mar/20;Americana;SP;Elian Belli;1800;Civic;52984
19/mar/20;Americana;SP;Elian Belli;1800;Fiesta;51002
19/mar/20;Americana;SP;Elian Belli;1800;Cruze;59178
19/mar/20;Americana;SP;Elian Belli;1800;Fiesta;43048
19/mar/20;Americana;SP;Elian Belli;1800;Uno;20659
19/mar/20;Americana;SP;Elian Belli;1800;Fiesta;14686
04/mar/20;Americana;SP;Elian Belli;1800;Pálio;21385
22/mar/20;Americana;SP;Elian Belli;1800;Logan;58808
22/mar/20;Americana;SP;Elian Belli;1800;Fiesta;32422
21/mar/20;Americana;SP;Elian Belli;1800;Logan;59984
21/mar/20;Americana;SP;Elian Belli;1800;Pálio;20778
21/mar/20;Americana;SP;Elian Belli;1800;Uno;45382
21/mar/20;Americana;SP;Elian Belli;1800;Polo;53796
21/mar/20;Americana;SP;Elian Belli;1800;Corola;49922
21/mar/20;Americana;SP;Elian Belli;1800;EcoSport;33535
21/mar/20;Americana;SP;Elian Belli;1800;EcoSport;14992
21/mar/20;Americana;SP;Elian Belli;1800;Logan;12899
21/mar/20;Americana;SP;Elian Belli;1800;Civic;34778
21/mar/20;Americana;SP;Elian Belli;1800;Logan;34857
12/mar/20;Americana;SP;Elian Belli;1800;Gol;17931
12/mar/20;Americana;SP;Elian Belli;1800;Logan;58305
12/mar/20;Americana;SP;Elian Belli;1800;Fiesta;46179
27/mar/20;Americana;SP;Elian Belli;1800;Civic;49662
27/mar/20;Americana;SP;Elian Belli;1800;Polo;15605
27/mar/20;Americana;SP;Elian Belli;1800;Cruze;45480
27/mar/20;Americana;SP;Elian Belli;1800;Ka;13653
27/mar/20;Americana;SP;Elian Belli;1800;Pálio;39899
27/mar/20;Americana;SP;Elian Belli;1800;Logan;47216
27/mar/20;Americana;SP;Elian Belli;1800;EcoSport;57890
27/mar/20;Americana;SP;Elian Belli;1800;Logan;54190
27/mar/20;Americana;SP;Elian Belli;1800;Polo;50535
21/mar/20;Americana;SP;Elian Belli;1800;EcoSport;39492
09/mar/20;Americana;SP;Elian Belli;1800;Corola;30479
09/mar/20;Americana;SP;Elian Belli;1800;Logan;55650
09/mar/20;Americana;SP;Elian Belli;1800;Corola;20721
09/mar/20;Americana;SP;Elian Belli;1800;Cruze;22126
04/abr/20;Americana;SP;Elian Belli;1800;Fiesta;41752
04/abr/20;Americana;SP;Elian Belli;1800;EcoSport;22978
04/abr/20;Americana;SP;Elian Belli;1800;Ka;38291
04/abr/20;Americana;SP;Elian Belli;1800;Cruze;52436
04/abr/20;Americana;SP;Elian Belli;1800;Uno;58457
04/abr/20;Americana;SP;Elian Belli;1800;Gol;56885
16/mai/20;Americana;SP;Elian Belli;1800;Logan;30715
16/mai/20;Americana;SP;Elian Belli;1800;Cruze;37654
16/mai/20;Americana;SP;Elian Belli;1800;Uno;43117
16/mai/20;Americana;SP;Elian Belli;1800;Civic;20955
16/mai/20;Americana;SP;Elian Belli;1800;Corola;45523
16/mai/20;Americana;SP;Elian Belli;1800;Polo;29629
16/mai/20;Americana;SP;Elian Belli;1800;Civic;28964
16/mai/20;Americana;SP;Elian Belli;1800;EcoSport;20239
16/mai/20;Americana;SP;Elian Belli;1800;Gol;33469
16/mai/20;Americana;SP;Elian Belli;1800;Civic;39690
07/mai/20;Americana;SP;Elian Belli;1800;Civic;18421
07/mai/20;Americana;SP;Elian Belli;1800;Cruze;10665
14/mai/20;Americana;SP;Elian Belli;1800;Ka;54059
14/mai/20;Americana;SP;Elian Belli;1800;Uno;48222
27/mai/20;Americana;SP;Elian Belli;1800;Fiesta;25826
27/mai/20;Americana;SP;Elian Belli;1800;Ka;10834
27/mai/20;Americana;SP;Elian Belli;1800;Civic;40519
27/mai/20;Americana;SP;Elian Belli;1800;EcoSport;31206
27/mai/20;Americana;SP;Elian Belli;1800;Pálio;12514
27/mai/20;Americana;SP;Elian Belli;1800;Corola;24788
27/mai/20;Americana;SP;Elian Belli;1800;Cruze;15599
27/mai/20;Americana;SP;Elian Belli;1800;Uno;13079
27/mai/20;Americana;SP;Elian Belli;1800;Pálio;32597
27/mai/20;Americana;SP;Elian Belli;1800;EcoSport;40146
27/mai/20;Americana;SP;Elian Belli;1800;Polo;47914
07/mai/20;Americana;SP;Elian Belli;1800;Uno;25730
07/mai/20;Americana;SP;Elian Belli;1800;Civic;24283
07/mai/20;Americana;SP;Elian Belli;1800;Cruze;31700
07/mai/20;Americana;SP;Elian Belli;1800;Polo;10716
12/mai/20;Americana;SP;Elian Belli;1800;Ka;55351
12/mai/20;Americana;SP;Elian Belli;1800;Corola;52037
12/mai/20;Americana;SP;Elian Belli;1800;Polo;18267
12/mai/20;Americana;SP;Elian Belli;1800;Logan;23499
12/mai/20;Americana;SP;Elian Belli;1800;Cruze;16953
12/mai/20;Americana;SP;Elian Belli;1800;Cruze;10292
12/mai/20;Americana;SP;Elian Belli;1800;Cruze;17788
12/mai/20;Americana;SP;Elian Belli;1800;Pálio;46964
12/mai/20;Americana;SP;Elian Belli;1800;Uno;46331
12/mai/20;Americana;SP;Elian Belli;1800;Cruze;45875
06/mai/20;Americana;SP;Elian Belli;1800;Logan;38547
06/mai/20;Americana;SP;Elian Belli;1800;Civic;40644
14/mai/20;Americana;SP;Elian Belli;1800;Fiesta;43521
14/mai/20;Americana;SP;Elian Belli;1800;Uno;19564
14/mai/20;Americana;SP;Elian Belli;1800;Logan;44922
14/mai/20;Americana;SP;Elian Belli;1800;EcoSport;23365
14/mai/20;Americana;SP;Elian Belli;1800;Fiesta;21396
14/mai/20;Americana;SP;Elian Belli;1800;Ka;45416
14/mai/20;Americana;SP;Elian Belli;1800;Uno;49059
14/mai/20;Americana;SP;Elian Belli;1800;Pálio;53997
14/mai/20;Americana;SP;Elian Belli;1800;Fiesta;25379
03/mai/20;Americana;SP;Elian Belli;1800;Civic;35592
03/mai/20;Americana;SP;Elian Belli;1800;Corola;38305
21/mai/20;Americana;SP;Elian Belli;1800;Cruze;55217
21/mai/20;Americana;SP;Elian Belli;1800;Civic;15965
21/mai/20;Americana;SP;Elian Belli;1800;Corola;19786
21/mai/20;Americana;SP;Elian Belli;1800;Fiesta;35979
21/mai/20;Americana;SP;Elian Belli;1800;EcoSport;38726
10/mai/20;Americana;SP;Elian Belli;1800;Ka;57921
10/mai/20;Americana;SP;Elian Belli;1800;Ka;56463
10/mai/20;Americana;SP;Elian Belli;1800;Fiesta;39285
10/mai/20;Americana;SP;Elian Belli;1800;Fiesta;25272
10/mai/20;Americana;SP;Elian Belli;1800;Logan;26956
10/mai/20;Americana;SP;Elian Belli;1800;Polo;37612
04/mai/20;Americana;SP;Elian Belli;1800;Polo;22334
04/mai/20;Americana;SP;Elian Belli;1800;Uno;55891
04/mai/20;Americana;SP;Elian Belli;1800;EcoSport;16065
04/mai/20;Americana;SP;Elian Belli;1800;Uno;34060
04/mai/20;Americana;SP;Elian Belli;1800;Pálio;20905
04/mai/20;Americana;SP;Elian Belli;1800;Pálio;29899
04/mai/20;Americana;SP;Elian Belli;1800;Corola;57829
28/mai/20;Americana;SP;Elian Belli;1800;Cruze;51612
28/mai/20;Americana;SP;Elian Belli;1800;Civic;22888
28/mai/20;Americana;SP;Elian Belli;1800;Polo;27130
28/mai/20;Americana;SP;Elian Belli;1800;EcoSport;16408
28/mai/20;Americana;SP;Elian Belli;1800;EcoSport;30305
28/mai/20;Americana;SP;Elian Belli;1800;Cruze;59031
28/mai/20;Americana;SP;Elian Belli;1800;Fiesta;38597
28/mai/20;Americana;SP;Elian Belli;1800;Civic;37008
27/mai/20;Americana;SP;Elian Belli;1800;Cruze;15206
23/mai/20;Americana;SP;Elian Belli;1800;Cruze;33043
23/mai/20;Americana;SP;Elian Belli;1800;Pálio;35346
23/mai/20;Americana;SP;Elian Belli;1800;Cruze;25048
23/mai/20;Americana;SP;Elian Belli;1800;Civic;29852
23/mai/20;Americana;SP;Elian Belli;1800;EcoSport;54347
23/mai/20;Americana;SP;Elian Belli;1800;Uno;15431
23/mai/20;Americana;SP;Elian Belli;1800;Corola;47522
23/mai/20;Americana;SP;Elian Belli;1800;Civic;46571
23/mai/20;Americana;SP;Elian Belli;1800;Corola;54352
10/mai/20;Americana;SP;Elian Belli;1800;Cruze;31090
10/mai/20;Americana;SP;Elian Belli;1800;EcoSport;35142
10/mai/20;Americana;SP;Elian Belli;1800;Uno;46609
11/mai/20;Americana;SP;Elian Belli;1800;Corola;43442
11/mai/20;Americana;SP;Elian Belli;1800;Logan;11351
11/mai/20;Americana;SP;Elian Belli;1800;Ka;18913
11/mai/20;Americana;SP;Elian Belli;1800;Logan;59912
11/mai/20;Americana;SP;Elian Belli;1800;Uno;18433
11/mai/20;Americana;SP;Elian Belli;1800;Cruze;18545
11/mai/20;Americana;SP;Elian Belli;1800;Uno;57655
11/mai/20;Americana;SP;Elian Belli;1800;Gol;17426
26/jun/20;Americana;SP;Elian Belli;1800;Cruze;59937
26/jun/20;Americana;SP;Elian Belli;1800;EcoSport;22086
26/jun/20;Americana;SP;Elian Belli;1800;Fiesta;20790
26/jun/20;Americana;SP;Elian Belli;1800;Pálio;50155
26/jun/20;Americana;SP;Elian Belli;1800;Logan;36558
26/jun/20;Americana;SP;Elian Belli;1800;EcoSport;27652
26/jun/20;Americana;SP;Elian Belli;1800;EcoSport;11903
22/jun/20;Americana;SP;Elian Belli;1800;EcoSport;39486
22/jun/20;Americana;SP;Elian Belli;1800;Polo;50470
22/jun/20;Americana;SP;Elian Belli;1800;Pálio;50878
15/jun/20;Americana;SP;Elian Belli;1800;Civic;24348
15/jun/20;Americana;SP;Elian Belli;1800;Gol;57731
15/jun/20;Americana;SP;Elian Belli;1800;EcoSport;46755
15/jun/20;Americana;SP;Elian Belli;1800;Pálio;13388
15/jun/20;Americana;SP;Elian Belli;1800;Cruze;37846
15/jun/20;Americana;SP;Elian Belli;1800;Fiesta;27817
25/jun/20;Americana;SP;Elian Belli;1800;Gol;36638
18/jun/20;Americana;SP;Elian Belli;1800;Polo;47934
18/jun/20;Americana;SP;Elian Belli;1800;Fiesta;58282
18/jun/20;Americana;SP;Elian Belli;1800;Uno;43412
18/jun/20;Americana;SP;Elian Belli;1800;Pálio;33432
18/jun/20;Americana;SP;Elian Belli;1800;Civic;51308
18/jun/20;Americana;SP;Elian Belli;1800;Ka;13826
18/jun/20;Americana;SP;Elian Belli;1800;Ka;28008
18/jun/20;Americana;SP;Elian Belli;1800;Cruze;32242
18/jun/20;Americana;SP;Elian Belli;1800;Cruze;51798
18/jun/20;Americana;SP;Elian Belli;1800;Civic;23715
18/jun/20;Americana;SP;Elian Belli;1800;Logan;31346
18/jun/20;Americana;SP;Elian Belli;1800;Gol;20210
18/jun/20;Americana;SP;Elian Belli;1800;Pálio;59090
18/jun/20;Americana;SP;Elian Belli;1800;Fiesta;49422
18/jun/20;Americana;SP;Elian Belli;1800;EcoSport;10816
18/jun/20;Americana;SP;Elian Belli;1800;EcoSport;16258
18/jun/20;Americana;SP;Elian Belli;1800;Civic;54893
18/jun/20;Americana;SP;Elian Belli;1800;Pálio;45120
18/jun/20;Americana;SP;Elian Belli;1800;Corola;53820
24/jun/20;Americana;SP;Elian Belli;1800;Polo;56054
24/jun/20;Americana;SP;Elian Belli;1800;Logan;35570
24/jun/20;Americana;SP;Elian Belli;1800;Ka;44274
06/jun/20;Americana;SP;Elian Belli;1800;Pálio;18989
06/jun/20;Americana;SP;Elian Belli;1800;Ka;23490
06/jun/20;Americana;SP;Elian Belli;1800;Polo;32720
06/jun/20;Americana;SP;Elian Belli;1800;Uno;20585
06/jun/20;Americana;SP;Elian Belli;1800;Pálio;32963
06/jun/20;Americana;SP;Elian Belli;1800;EcoSport;19850
06/jun/20;Americana;SP;Elian Belli;1800;Uno;40708
06/jun/20;Americana;SP;Elian Belli;1800;Civic;45829
18/jun/20;Americana;SP;Elian Belli;1800;Civic;57787
18/jun/20;Americana;SP;Elian Belli;1800;Corola;25511
18/jun/20;Americana;SP;Elian Belli;1800;Gol;19974
18/jun/20;Americana;SP;Elian Belli;1800;Corola;46189
18/jun/20;Americana;SP;Elian Belli;1800;Logan;47662
18/jun/20;Americana;SP;Elian Belli;1800;Uno;11213
07/jun/20;Americana;SP;Elian Belli;1800;Gol;26101
07/jun/20;Americana;SP;Elian Belli;1800;Fiesta;41429
07/jun/20;Americana;SP;Elian Belli;1800;Uno;51585
07/jun/20;Americana;SP;Elian Belli;1800;EcoSport;12181
07/jun/20;Americana;SP;Elian Belli;1800;Pálio;24915
07/jun/20;Americana;SP;Elian Belli;1800;Polo;51534
07/jun/20;Americana;SP;Elian Belli;1800;Uno;27101
07/jun/20;Americana;SP;Elian Belli;1800;Corola;52464
07/jun/20;Americana;SP;Elian Belli;1800;Corola;57883
07/jun/20;Americana;SP;Elian Belli;1800;Civic;59043
25/jun/20;Americana;SP;Elian Belli;1800;Gol;47483
25/jun/20;Americana;SP;Elian Belli;1800;EcoSport;23675
25/jun/20;Americana;SP;Elian Belli;1800;Pálio;11692
26/jul/20;Americana;SP;Elian Belli;1800;Logan;32523
26/jul/20;Americana;SP;Elian Belli;1800;Pálio;21381
26/jul/20;Americana;SP;Elian Belli;1800;Fiesta;25208
26/jul/20;Americana;SP;Elian Belli;1800;Gol;51561
26/jul/20;Americana;SP;Elian Belli;1800;Fiesta;41213
04/jul/20;Americana;SP;Elian Belli;1800;Polo;41591
04/jul/20;Americana;SP;Elian Belli;1800;Corola;52309
04/jul/20;Americana;SP;Elian Belli;1800;Uno;31720
04/jul/20;Americana;SP;Elian Belli;1800;Ka;18045
